route_id,origin_id,destination_id,distance,average_hours
R-ada2a391,C-927ceb5e,C-56e39a5e,1735.06,34.7
R-ae0ef31f,C-927ceb5e,C-73ae5412,1498.24,29.96
R-4beec5fd,C-927ceb5e,C-4fe0fa24,6078.46,121.57
R-8d7a7fb2,C-927ceb5e,C-451776b7,1543.01,30.86
R-b236e347,C-927ceb5e,C-d80a1e7d,310.75,6.22
R-93f348a8,C-927ceb5e,C-c92599e2,1810.21,36.2
R-2c800586,C-927ceb5e,C-731988ba,2637.04,52.74
R-29ea762e,C-927ceb5e,C-639c5e36,1050.84,21.02
R-a3d67783,C-927ceb5e,C-a9f2c329,38.1,0.76
R-31ec9310,C-927ceb5e,C-c7cacd1d,688.91,13.78
R-a07c5dbd,C-927ceb5e,C-ef47bdcd,728.4,14.57
R-af4b19be,C-927ceb5e,C-84f378bb,433.01,8.66
R-f3910966,C-927ceb5e,C-c4565ee8,452.19,9.04
R-0f705429,C-927ceb5e,C-6ea51d66,934.7,18.69
R-20b28ed0,C-927ceb5e,C-ff8c0c3c,239.93,4.8
R-c6f387a2,C-927ceb5e,C-e5bfb4e5,207.01,4.14
R-1bcec3a6,C-927ceb5e,C-3dbd8b2e,1572.11,31.44
R-4e761548,C-927ceb5e,C-7212cebe,167.88,3.36
R-ceca955c,C-927ceb5e,C-b6e04c88,211.56,4.23
R-42089501,C-927ceb5e,C-01660979,914.29,18.29
R-31da4758,C-927ceb5e,C-f8f01604,6299.63,125.99
R-199b44b9,C-927ceb5e,C-280b55fb,440.71,8.81
R-6ed434f5,C-927ceb5e,C-f5ed4c15,7053.45,141.07
R-a440d67c,C-927ceb5e,C-6df8beaf,93.45,1.87
R-813014f3,C-927ceb5e,C-2bd47dc5,910.4,18.21
R-2eb4a1eb,C-927ceb5e,C-b25a09de,672.64,13.45
R-34225f1e,C-927ceb5e,C-419cd14c,860.1,17.2
R-4517898c,C-927ceb5e,C-9bbf5d8a,755.31,15.11
R-78400ecc,C-927ceb5e,C-40a81eb1,1048.57,20.97
R-0a155e4b,C-927ceb5e,C-2c9e75ef,535.94,10.72
R-796c9a8b,C-927ceb5e,C-03bb3e48,366.88,7.34
R-f5b60fcb,C-927ceb5e,C-19236709,155.21,3.1
R-636eb206,C-927ceb5e,C-fc66f0ab,107.61,2.15
R-d1612204,C-927ceb5e,C-b5ff31cd,1014.75,20.3
R-71152224,C-927ceb5e,C-5d86b887,788.25,15.76
R-96fa17e6,C-927ceb5e,C-2aaf0e1a,710.27,14.21
R-1eed753c,C-927ceb5e,C-34ae77b0,8964.48,179.29
R-16be3bb7,C-927ceb5e,C-d9e9d934,895.97,17.92
